player_id,signup_date,region,channel,vip_tier
1,2025-01-01,GA,Organic,Standard
2,2025-01-02,NJ,Referral,Silver
3,2025-01-03,MI,Paid,Standard
4,2025-01-04,CO,Organic,Gold
5,2025-01-05,VA,Referral,Standard
6,2025-01-06,GA,Paid,Platinum
7,2025-01-07,NJ,Organic,Standard
8,2025-01-08,MI,Paid,Silver
9,2025-01-09,CO,Referral,Standard
10,2025-01-10,VA,Organic,Gold
11,2025-01-11,GA,Paid,Standard
12,2025-01-12,NJ,Referral,Standard
13,2025-01-13,MI,Organic,Silver
14,2025-01-14,CO,Paid,Standard
15,2025-01-15,VA,Organic,Platinum
16,2025-01-16,GA,Referral,Gold
17,2025-01-17,NJ,Paid,Standard
18,2025-01-18,MI,Organic,Silver
19,2025-01-19,CO,Referral,Standard
20,2025-01-20,VA,Paid,Standard
